A Homogeneous Main-Sequence Model
 The surface conditions are:        The central conditions are:
 Mtot =  7.500000E-01 Msun          Mc/Mtot     =  2.94662E-04
 Rtot =  9.786486E-01 Rsun          Rc/Rtot     =  1.70000E-02
 Ltot =  1.877000E-01 Lsun          Lc/Ltot     =  8.14922E-02
 Teff =  3.839100E+03 K             Density     =  6.75920E+01
 X    =  7.000000E-01               Temperature =  1.11109E+07
 Y    =  2.920000E-01               Pressure    =  1.00558E+17 dynes/cm**2
 Z    =  8.000000E-03               epsilon     =  1.33139E+02 ergs/s/g
                                    dlnP/dlnT   =  2.49875E+00
Notes:
 (1) Mass is listed as Qm = 1.0 - M_r/Mtot, where Mtot =     1.989e+33
 (2) Convective zones are indicated by c, radiative zones by r
 (3) dlnP/dlnT may be limited to +99.9 or -99.9# if so it is
 labeled by *
   r        Qm       L_r       T        P        rho      kap      eps     dlPdlT
6.01E+10 4.00E-05 7.18E+32 3.20E+05 3.32E+10 7.76E-04 3.61E+01 6.76E-19 r   4.6
6.01E+10 3.84E-05 7.18E+32 3.16E+05 3.18E+10 7.49E-04 3.63E+01 5.60E-19 r   4.6
6.02E+10 3.69E-05 7.18E+32 3.13E+05 3.04E+10 7.24E-04 3.65E+01 4.64E-19 r   4.6
6.03E+10 3.54E-05 7.18E+32 3.10E+05 2.91E+10 6.99E-04 3.67E+01 3.84E-19 r   4.6
6.03E+10 3.40E-05 7.18E+32 3.07E+05 2.78E+10 6.75E-04 3.69E+01 3.16E-19 r   4.6
6.04E+10 3.26E-05 7.18E+32 3.04E+05 2.66E+10 6.51E-04 3.71E+01 2.60E-19 r   4.6
6.05E+10 3.13E-05 7.18E+32 3.01E+05 2.54E+10 6.28E-04 3.73E+01 2.14E-19 r   4.6
6.06E+10 3.00E-05 7.18E+32 2.98E+05 2.42E+10 6.06E-04 3.76E+01 1.75E-19 r   4.6
6.06E+10 2.87E-05 7.18E+32 2.95E+05 2.31E+10 5.84E-04 3.78E+01 1.43E-19 r   4.6
6.07E+10 2.75E-05 7.18E+32 2.92E+05 2.21E+10 5.63E-04 3.80E+01 1.17E-19 r   4.6
6.08E+10 2.63E-05 7.18E+32 2.89E+05 2.11E+10 5.43E-04 3.82E+01 9.54E-20 r   4.6
6.08E+10 2.52E-05 7.18E+32 2.86E+05 2.01E+10 5.23E-04 3.85E+01 7.75E-20 r   4.6
6.09E+10 2.41E-05 7.18E+32 2.83E+05 1.91E+10 5.04E-04 3.87E+01 6.28E-20 r   4.6
6.10E+10 2.31E-05 7.18E+32 2.80E+05 1.82E+10 4.85E-04 3.89E+01 5.08E-20 r   4.6
6.10E+10 2.20E-05 7.18E+32 2.77E+05 1.74E+10 4.67E-04 3.92E+01 4.10E-20 r   4.6
6.11E+10 2.11E-05 7.18E+32 2.74E+05 1.65E+10 4.50E-04 3.94E+01 3.30E-20 r   4.6
6.12E+10 2.01E-05 7.18E+32 2.71E+05 1.57E+10 4.32E-04 3.97E+01 2.65E-20 r   4.6
6.12E+10 1.92E-05 7.18E+32 2.69E+05 1.50E+10 4.16E-04 3.99E+01 2.12E-20 r   4.6
6.13E+10 1.83E-05 7.18E+32 2.66E+05 1.42E+10 4.00E-04 4.02E+01 1.69E-20 r   4.6
6.14E+10 1.75E-05 7.18E+32 2.63E+05 1.35E+10 3.84E-04 4.04E+01 1.35E-20 r   4.6
6.14E+10 1.67E-05 7.18E+32 2.60E+05 1.28E+10 3.69E-04 4.07E+01 1.07E-20 r   4.6
6.15E+10 1.59E-05 7.18E+32 2.57E+05 1.22E+10 3.54E-04 4.10E+01 8.49E-21 r   4.6
6.16E+10 1.51E-05 7.18E+32 2.54E+05 1.16E+10 3.40E-04 4.12E+01 6.71E-21 r   4.6
6.16E+10 1.44E-05 7.18E+32 2.51E+05 1.10E+10 3.26E-04 4.15E+01 5.28E-21 r   4.6
6.17E+10 1.37E-05 7.18E+32 2.48E+05 1.04E+10 3.13E-04 4.18E+01 4.15E-21 r   4.6
6.18E+10 1.30E-05 7.18E+32 2.45E+05 9.86E+09 3.00E-04 4.21E+01 3.24E-21 r   4.6
6.18E+10 1.24E-05 7.18E+32 2.42E+05 9.34E+09 2.88E-04 4.24E+01 2.53E-21 r   4.6
6.19E+10 1.18E-05 7.18E+32 2.39E+05 8.84E+09 2.76E-04 4.27E+01 1.97E-21 r   4.6
6.20E+10 1.12E-05 7.18E+32 2.37E+05 8.37E+09 2.64E-04 4.30E+01 1.52E-21 r   4.6
6.21E+10 1.06E-05 7.18E+32 2.34E+05 7.91E+09 2.53E-04 4.33E+01 1.18E-21 r   4.6
6.21E+10 1.01E-05 7.18E+32 2.31E+05 7.48E+09 2.42E-04 4.36E+01 9.06E-22 r   4.6
6.22E+10 9.54E-06 7.18E+32 2.28E+05 7.06E+09 2.31E-04 4.39E+01 6.95E-22 r   4.6
6.23E+10 9.04E-06 7.18E+32 2.25E+05 6.67E+09 2.21E-04 4.42E+01 5.31E-22 r   4.6
6.23E+10 8.56E-06 7.18E+32 2.22E+05 6.29E+09 2.11E-04 4.46E+01 4.04E-22 r   4.6
6.24E+10 8.10E-06 7.18E+32 2.19E+05 5.93E+09 2.02E-04 4.49E+01 3.06E-22 r   4.6
6.25E+10 7.66E-06 7.18E+32 2.17E+05 5.59E+09 1.92E-04 4.52E+01 2.31E-22 r   4.6
6.25E+10 7.23E-06 7.18E+32 2.14E+05 5.26E+09 1.84E-04 4.56E+01 1.74E-22 r   4.6
6.26E+10 6.83E-06 7.18E+32 2.11E+05 4.95E+09 1.75E-04 4.60E+01 1.30E-22 r   4.6
6.27E+10 6.45E-06 7.18E+32 2.08E+05 4.65E+09 1.67E-04 4.63E+01 9.71E-23 r   4.6
6.27E+10 6.08E-06 7.18E+32 2.05E+05 4.37E+09 1.59E-04 4.67E+01 7.20E-23 r   4.6
6.28E+10 5.73E-06 7.18E+32 2.03E+05 4.11E+09 1.51E-04 4.71E+01 5.32E-23 r   4.6
6.29E+10 5.39E-06 7.18E+32 2.00E+05 3.85E+09 1.44E-04 4.74E+01 3.91E-23 r   4.6
6.29E+10 5.08E-06 7.18E+32 1.97E+05 3.61E+09 1.37E-04 4.78E+01 2.86E-23 r   4.6
6.30E+10 4.77E-06 7.18E+32 1.94E+05 3.38E+09 1.30E-04 4.82E+01 2.08E-23 r   4.6
6.31E+10 4.48E-06 7.18E+32 1.91E+05 3.17E+09 1.23E-04 4.86E+01 1.51E-23 r   4.6
6.31E+10 4.21E-06 7.18E+32 1.89E+05 2.96E+09 1.17E-04 4.91E+01 1.09E-23 r   4.6
6.32E+10 3.95E-06 7.18E+32 1.86E+05 2.77E+09 1.11E-04 4.95E+01 7.79E-24 r   4.6
6.33E+10 3.70E-06 7.18E+32 1.83E+05 2.59E+09 1.05E-04 4.99E+01 5.55E-24 r   4.6
6.33E+10 3.46E-06 7.18E+32 1.80E+05 2.41E+09 9.98E-05 5.04E+01 3.93E-24 r   4.6
6.34E+10 3.24E-06 7.18E+32 1.78E+05 2.25E+09 9.44E-05 5.08E+01 2.76E-24 r   4.6
6.35E+10 3.03E-06 7.18E+32 1.75E+05 2.09E+09 8.93E-05 5.13E+01 1.93E-24 r   4.6
6.35E+10 2.83E-06 7.18E+32 1.72E+05 1.95E+09 8.44E-05 5.18E+01 1.34E-24 r   4.6
6.36E+10 2.64E-06 7.18E+32 1.69E+05 1.81E+09 7.97E-05 5.23E+01 9.27E-25 r   4.6
6.37E+10 2.46E-06 7.18E+32 1.67E+05 1.68E+09 7.52E-05 5.28E+01 6.36E-25 r   4.6
6.38E+10 2.29E-06 7.18E+32 1.64E+05 1.56E+09 7.09E-05 5.33E+01 4.33E-25 r   4.6
6.38E+10 2.13E-06 7.18E+32 1.61E+05 1.44E+09 6.68E-05 5.38E+01 2.92E-25 r   4.6
6.39E+10 1.97E-06 7.18E+32 1.59E+05 1.34E+09 6.29E-05 5.43E+01 1.96E-25 r   4.6
6.40E+10 1.83E-06 7.18E+32 1.56E+05 1.24E+09 5.91E-05 5.49E+01 1.30E-25 r   4.6
6.40E+10 1.70E-06 7.18E+32 1.53E+05 1.14E+09 5.55E-05 5.54E+01 8.59E-26 r   4.6
6.41E+10 1.57E-06 7.18E+32 1.51E+05 1.05E+09 5.21E-05 5.60E+01 5.62E-26 r   4.6
6.42E+10 1.45E-06 7.18E+32 1.48E+05 9.69E+08 4.89E-05 5.66E+01 3.64E-26 r   4.6
6.42E+10 1.34E-06 7.18E+32 1.45E+05 8.91E+08 4.58E-05 5.72E+01 2.34E-26 r   4.6
6.43E+10 1.23E-06 7.18E+32 1.43E+05 8.18E+08 4.28E-05 5.79E+01 1.49E-26 r   4.6
6.44E+10 1.14E-06 7.18E+32 1.40E+05 7.50E+08 4.00E-05 5.85E+01 9.35E-27 r   4.6
6.44E+10 1.04E-06 7.18E+32 1.37E+05 6.87E+08 3.73E-05 5.92E+01 5.83E-27 r   4.6
6.45E+10 9.57E-07 7.18E+32 1.35E+05 6.28E+08 3.48E-05 5.99E+01 3.59E-27 r   4.6
6.46E+10 8.77E-07 7.18E+32 1.32E+05 5.73E+08 3.24E-05 6.06E+01 2.19E-27 r   4.6
6.46E+10 8.02E-07 7.18E+32 1.29E+05 5.23E+08 3.02E-05 6.13E+01 1.32E-27 r   4.6
6.47E+10 7.32E-07 7.18E+32 1.27E+05 4.76E+08 2.80E-05 6.21E+01 7.82E-28 r   4.6
6.48E+10 6.67E-07 7.18E+32 1.24E+05 4.32E+08 2.60E-05 6.28E+01 4.59E-28 r   4.6
6.48E+10 6.07E-07 7.18E+32 1.21E+05 3.92E+08 2.41E-05 6.36E+01 2.66E-28 r   4.6
6.49E+10 5.51E-07 7.18E+32 1.19E+05 3.54E+08 2.22E-05 6.45E+01 1.52E-28 r   4.6
6.50E+10 5.00E-07 7.18E+32 1.16E+05 3.20E+08 2.05E-05 6.53E+01 8.52E-29 r   4.6
6.50E+10 4.52E-07 7.18E+32 1.14E+05 2.88E+08 1.89E-05 6.62E+01 4.72E-29 r   4.6
6.51E+10 4.08E-07 7.18E+32 1.11E+05 2.59E+08 1.74E-05 6.71E+01 2.57E-29 r   4.6
6.52E+10 3.67E-07 7.18E+32 1.08E+05 2.33E+08 1.60E-05 6.81E+01 1.37E-29 r   4.6
6.53E+10 3.29E-07 7.18E+32 1.06E+05 2.08E+08 1.47E-05 6.90E+01 7.22E-30 r   4.6
6.53E+10 2.95E-07 7.18E+32 1.03E+05 1.86E+08 1.34E-05 7.01E+01 3.72E-30 r   4.6
6.54E+10 2.64E-07 7.18E+32 1.01E+05 1.65E+08 1.23E-05 7.11E+01 1.88E-30 r   4.6
6.55E+10 2.35E-07 7.18E+32 9.81E+04 1.47E+08 1.12E-05 7.22E+01 9.28E-31 r   4.6
6.55E+10 2.09E-07 7.18E+32 9.55E+04 1.30E+08 1.02E-05 7.34E+01 4.48E-31 r   4.6
6.56E+10 1.85E-07 7.18E+32 9.30E+04 1.15E+08 9.21E-06 7.46E+01 2.11E-31 r   4.6
6.57E+10 1.63E-07 7.18E+32 9.04E+04 1.01E+08 8.33E-06 7.58E+01 9.71E-32 r   4.6
6.57E+10 1.44E-07 7.18E+32 8.79E+04 8.86E+07 7.51E-06 7.71E+01 4.34E-32 r   4.6
6.58E+10 1.26E-07 7.18E+32 8.53E+04 7.74E+07 6.76E-06 7.85E+01 1.89E-32 r   4.6
6.59E+10 1.10E-07 7.18E+32 8.28E+04 6.74E+07 6.07E-06 7.99E+01 7.94E-33 r   4.6
6.59E+10 9.57E-08 7.18E+32 8.03E+04 5.84E+07 5.42E-06 8.14E+01 3.24E-33 r   4.6
6.60E+10 8.29E-08 7.18E+32 7.77E+04 5.04E+07 4.83E-06 8.30E+01 1.27E-33 r   4.6
6.61E+10 7.15E-08 7.18E+32 7.52E+04 4.33E+07 4.29E-06 8.46E+01 4.81E-34 r   4.6
6.61E+10 6.14E-08 7.18E+32 7.27E+04 3.70E+07 3.80E-06 8.64E+01 1.75E-34 r   4.6
6.62E+10 5.24E-08 7.18E+32 7.02E+04 3.15E+07 3.35E-06 8.82E+01 6.08E-35 r   4.6
6.63E+10 4.45E-08 7.18E+32 6.77E+04 2.67E+07 2.94E-06 9.01E+01 2.01E-35 r   4.6
6.63E+10 3.76E-08 7.18E+32 6.52E+04 2.24E+07 2.56E-06 9.22E+01 6.33E-36 r   4.6
6.64E+10 3.15E-08 7.18E+32 6.27E+04 1.87E+07 2.23E-06 9.44E+01 1.88E-36 r   4.6
6.65E+10 2.63E-08 7.18E+32 6.02E+04 1.56E+07 1.93E-06 9.67E+01 5.26E-37 r   4.6
6.65E+10 2.17E-08 7.18E+32 5.77E+04 1.28E+07 1.66E-06 9.92E+01 1.37E-37 r   4.6
6.66E+10 1.78E-08 7.18E+32 5.53E+04 1.05E+07 1.41E-06 1.02E+02 3.33E-38 r   4.6
6.67E+10 1.45E-08 7.18E+32 5.28E+04 8.49E+06 1.20E-06 1.05E+02 7.43E-39 r   4.6
6.68E+10 1.17E-08 7.18E+32 5.03E+04 6.81E+06 1.01E-06 1.08E+02 1.52E-39 r   4.6
6.68E+10 9.33E-09 7.18E+32 4.79E+04 5.41E+06 8.42E-07 1.11E+02 2.80E-40 r   4.6
6.69E+10 7.36E-09 7.18E+32 4.54E+04 4.24E+06 6.96E-07 1.15E+02 4.60E-41 r   4.6
6.70E+10 5.74E-09 7.18E+32 4.29E+04 3.29E+06 5.70E-07 1.18E+02 6.66E-42 r   4.6
6.70E+10 4.41E-09 7.18E+32 4.05E+04 2.51E+06 4.62E-07 1.23E+02 8.35E-43 r   4.6
6.71E+10 3.35E-09 7.18E+32 3.81E+04 1.89E+06 3.69E-07 1.27E+02 8.86E-44 r   4.6
6.72E+10 2.50E-09 7.18E+32 3.56E+04 1.39E+06 2.91E-07 1.33E+02 7.78E-45 r   4.6
6.72E+10 1.83E-09 7.18E+32 3.32E+04 1.01E+06 2.25E-07 1.38E+02 5.47E-46 r   4.6
6.73E+10 1.32E-09 7.18E+32 3.08E+04 7.09E+05 1.72E-07 1.45E+02 2.97E-47 r   4.6
6.74E+10 9.30E-10 7.18E+32 2.84E+04 4.86E+05 1.28E-07 1.52E+02 1.18E-48 r   4.6
6.74E+10 6.44E-10 7.18E+32 2.59E+04 3.23E+05 9.27E-08 1.61E+02 3.23E-50 r   4.7
6.75E+10 4.03E-10 7.18E+32 2.33E+04 1.97E+05 6.28E-08 1.71E+02 3.81E-52 r   4.7
6.76E+10 2.38E-10 7.18E+32 2.07E+04 1.13E+05 4.06E-08 1.82E+02 2.24E-54 r   4.7
6.76E+10 1.32E-10 7.18E+32 1.81E+04 6.04E+04 2.48E-08 1.96E+02 5.28E-57 r   4.7
6.77E+10 6.69E-11 7.18E+32 1.55E+04 2.92E+04 1.40E-08 2.14E+02 3.56E-60 r   4.7
6.78E+10 3.01E-11 7.18E+32 1.29E+04 1.23E+04 7.09E-09 2.35E+02 3.97E-64 r   4.7
6.78E+10 1.14E-11 7.18E+32 1.03E+04 4.26E+03 3.06E-09 2.63E+02 2.78E-69 r   4.8
6.79E+10 3.30E-12 7.18E+32 7.73E+03 1.07E+03 1.02E-09 3.00E+02 1.73E-76 r   4.9
6.80E+10 5.93E-13 7.18E+32 5.15E+03 1.46E+02 2.09E-10 3.48E+02 7.81E-88 r   4.8
6.80E+10 3.94E-14 7.18E+32 2.57E+03 5.21E+00 1.48E-11 4.76E+02 6.45E-111 r   4.2
6.81E+10 0.00E+00 7.18E+32 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 r   4.2
