   r        Qm       L_r       T        P        rho      kap      eps  zone dlPdlT
1.38E+11 1.60E-01 5.83E+37 1.08E+07 9.16E+14 6.09E-01 3.80E-01 3.68E-02 r   3.9
1.40E+11 1.45E-01 5.83E+37 1.04E+07 7.90E+14 5.46E-01 3.81E-01 2.77E-02 r   3.9
1.43E+11 1.32E-01 5.83E+37 1.00E+07 6.80E+14 4.89E-01 3.83E-01 2.07E-02 r   3.9
1.46E+11 1.19E-01 5.83E+37 9.63E+06 5.84E+14 4.36E-01 3.85E-01 1.54E-02 r   3.9
1.49E+11 1.08E-01 5.83E+37 9.25E+06 5.00E+14 3.89E-01 3.87E-01 1.14E-02 r   4.0
1.51E+11 9.69E-02 5.83E+37 8.90E+06 4.28E+14 3.46E-01 3.89E-01 8.40E-03 r   4.0
1.54E+11 8.71E-02 5.83E+37 8.55E+06 3.65E+14 3.07E-01 3.91E-01 6.14E-03 r   4.0
1.57E+11 7.80E-02 5.83E+37 8.21E+06 3.10E+14 2.72E-01 3.93E-01 4.46E-03 r   4.0
1.60E+11 6.97E-02 5.83E+37 7.88E+06 2.64E+14 2.41E-01 3.95E-01 3.21E-03 r   4.0
1.62E+11 6.21E-02 5.83E+37 7.56E+06 2.23E+14 2.12E-01 3.97E-01 2.30E-03 r   4.1
1.65E+11 5.52E-02 5.83E+37 7.25E+06 1.88E+14 1.87E-01 3.99E-01 1.63E-03 r   4.1
1.68E+11 4.89E-02 5.83E+37 6.95E+06 1.59E+14 1.64E-01 4.01E-01 1.15E-03 r   4.1
1.71E+11 4.31E-02 5.83E+37 6.66E+06 1.33E+14 1.44E-01 4.04E-01 8.04E-04 r   4.1
1.74E+11 3.80E-02 5.83E+37 6.38E+06 1.12E+14 1.26E-01 4.07E-01 5.57E-04 r   4.1
1.76E+11 3.33E-02 5.83E+37 6.11E+06 9.34E+13 1.10E-01 4.09E-01 3.82E-04 r   4.1
1.79E+11 2.91E-02 5.83E+37 5.84E+06 7.78E+13 9.56E-02 4.12E-01 2.60E-04 r   4.1
1.82E+11 2.53E-02 5.83E+37 5.59E+06 6.45E+13 8.30E-02 4.15E-01 1.74E-04 r   4.1
1.85E+11 2.20E-02 5.83E+37 5.34E+06 5.34E+13 7.19E-02 4.18E-01 1.16E-04 r   4.2
1.87E+11 1.90E-02 5.83E+37 5.09E+06 4.40E+13 6.20E-02 4.21E-01 7.62E-05 r   4.2
1.90E+11 1.63E-02 5.83E+37 4.86E+06 3.61E+13 5.34E-02 4.25E-01 4.94E-05 r   4.2
1.93E+11 1.40E-02 5.83E+37 4.63E+06 2.95E+13 4.58E-02 4.28E-01 3.16E-05 r   4.2
1.96E+11 1.19E-02 5.83E+37 4.41E+06 2.40E+13 3.91E-02 4.32E-01 1.99E-05 r   4.2
1.98E+11 1.01E-02 5.83E+37 4.19E+06 1.95E+13 3.33E-02 4.36E-01 1.24E-05 r   4.2
1.99E+11 9.91E-03 5.83E+37 4.17E+06 1.91E+13 3.28E-02 4.36E-01 1.18E-05 r   4.2
1.99E+11 9.75E-03 5.83E+37 4.15E+06 1.86E+13 3.22E-02 4.37E-01 1.12E-05 r   4.2
1.99E+11 9.58E-03 5.83E+37 4.13E+06 1.83E+13 3.17E-02 4.37E-01 1.07E-05 r   4.2
2.00E+11 9.42E-03 5.83E+37 4.10E+06 1.79E+13 3.12E-02 4.38E-01 1.02E-05 r   4.2
2.00E+11 9.26E-03 5.83E+37 4.08E+06 1.75E+13 3.07E-02 4.38E-01 9.67E-06 r   4.2
2.00E+11 9.10E-03 5.83E+37 4.06E+06 1.71E+13 3.02E-02 4.39E-01 9.20E-06 r   4.2
2.00E+11 8.95E-03 5.83E+37 4.04E+06 1.67E+13 2.97E-02 4.39E-01 8.76E-06 r   4.2
2.01E+11 8.79E-03 5.83E+37 4.02E+06 1.64E+13 2.92E-02 4.39E-01 8.33E-06 r   4.2
2.01E+11 8.64E-03 5.83E+37 4.00E+06 1.60E+13 2.87E-02 4.40E-01 7.92E-06 r   4.2
2.01E+11 8.49E-03 5.83E+37 3.98E+06 1.57E+13 2.82E-02 4.40E-01 7.53E-06 r   4.2
2.02E+11 8.35E-03 5.83E+37 3.96E+06 1.53E+13 2.78E-02 4.41E-01 7.16E-06 r   4.2
2.02E+11 8.20E-03 5.83E+37 3.94E+06 1.50E+13 2.73E-02 4.41E-01 6.81E-06 r   4.2
2.02E+11 8.06E-03 5.83E+37 3.92E+06 1.47E+13 2.69E-02 4.42E-01 6.47E-06 r   4.2
